Net Sales,Duration,Agency Type,ID,Product Name,Commision (in value),Destination,Distribution Channel,Age,Agency
109.0,34,1,8778,1,0.0,13,1,32,7
80.0,15,1,57038,10,0.0,89,1,44,7
51.0,52,1,27053,0,0.0,72,1,36,7
22.0,17,0,57038,8,7.7,81,1,25,9
35.0,9,0,33368,8,12.25,40,1,53,9
20.0,3,1,40108,1,0.0,53,1,38,7
109.0,145,0,30491,4,42.18,74,1,27,2
47.0,145,1,14504,10,0.0,44,1,36,7
21.0,5,1,19587,10,0.0,1,1,36,7
20.0,9,1,3515,1,0.0,83,1,32,7
109.0,145,0,47244,4,42.18,74,1,44,2
10.0,31,1,52883,10,0.0,74,1,25,7
77.0,51,1,57038,10,0.0,89,1,48,7
15.0,6,0,30637,24,6.0,11,1,35,12
22.0,85,0,3515,8,7.7,83,1,55,9
80.0,110,1,44309,1,0.0,29,1,36,7
78.0,66,1,19244,1,0.0,29,1,36,7
20.0,15,1,57038,0,0.0,74,1,35,7
21.0,3,1,33085,1,0.0,53,1,36,7
49.5,30,1,4428,16,29.7,1,1,55,6
29.7,6,1,22487,16,17.82,53,1,32,6
46.0,3,1,12645,0,0.0,15,1,36,7
25.0,3,1,52766,20,16.25,83,1,35,11
109.0,145,0,13431,4,42.18,74,1,29,2
10.0,24,1,17897,10,0.0,89,1,27,7
16.0,113,1,18036,10,0.0,15,1,36,7
27.0,4,0,45561,17,6.75,74,1,25,2
109.0,145,0,49420,4,42.18,74,1,30,2
109.0,34,0,45341,17,28.13,74,1,28,2
9.9,4,1,35897,16,17.82,53,1,55,6
29.7,9,1,31675,16,17.82,83,1,48,6
33.5,115,0,51480,9,8.38,74,1,35,2
86.4,66,0,52393,17,21.6,74,1,32,2
20.0,43,1,50261,1,0.0,92,1,36,7
12.0,29,1,6812,10,0.0,36,1,29,7
28.0,32,1,48905,10,0.0,74,1,36,7
10.0,21,1,24489,10,0.0,74,1,36,7
9.9,3,0,15926,22,2.0,74,1,48,13
20.0,3,1,27052,0,0.0,74,1,38,7
30.0,16,0,3515,8,10.5,67,1,45,9
51.0,9,1,16048,10,0.0,0,1,36,7
39.6,8,1,12981,16,23.76,89,1,38,6
9.9,19,1,36977,16,29.7,53,1,28,6
23.0,11,0,53532,24,9.2,11,1,45,12
49.5,10,1,53627,16,29.7,53,1,53,6
14.0,8,1,16244,10,0.0,74,1,36,7
64.0,145,1,40324,10,0.0,88,1,36,7
35.0,70,0,48952,8,12.25,15,1,25,9
49.0,105,1,10620,1,0.0,40,1,36,7
15.0,30,1,25238,10,0.0,32,1,36,7
20.0,22,1,43994,0,0.0,74,1,36,7
42.0,17,0,32204,17,10.5,74,1,25,2
77.0,145,1,47055,10,0.0,72,1,36,7
16.0,41,0,56488,9,4.0,74,1,32,2
69.0,12,1,53064,10,0.0,62,1,36,7
109.0,145,0,44958,3,42.18,74,1,40,2
33.5,31,0,50518,9,8.38,74,1,25,2
26.0,43,0,26025,8,9.1,32,1,48,9
27.0,10,0,57038,9,6.75,74,1,25,2
9.9,59,0,44439,13,27.5,74,1,28,2
37.0,20,1,56475,1,0.0,1,0,55,7
29.0,7,0,41634,17,7.25,74,1,33,2
20.0,25,1,14746,0,0.0,15,1,36,7
13.0,5,1,43778,10,0.0,36,1,36,7
9.9,3,0,15926,22,2.0,74,1,48,13
19.8,3,1,27481,16,11.88,89,1,52,6
27.0,17,1,57038,1,0.0,81,1,54,7
37.0,145,1,25711,1,0.0,67,1,36,7
38.0,3,1,32780,10,0.0,92,1,36,7
43.55,10,0,3515,17,10.89,74,1,45,2
10.0,8,1,39775,10,0.0,53,1,36,7
22.0,7,0,38952,8,7.7,83,1,55,9
83.0,75,0,50493,8,29.05,32,1,55,9
10.0,26,1,4243,10,0.0,62,1,36,7
26.5,22,1,54930,20,17.23,44,1,55,11
50.0,10,0,3515,17,12.5,74,1,50,2
79.2,51,1,4959,16,42.18,29,1,55,6
109.0,38,0,57038,17,28.13,74,1,25,2
18.0,17,0,41404,8,6.3,83,1,41,9
32.0,16,1,8011,1,0.0,81,1,46,7
20.0,17,1,34876,0,0.0,74,1,31,7
9.9,13,0,3515,22,1.16,74,1,48,13
34.0,6,1,57038,1,0.0,53,1,28,7
45.0,9,0,10384,24,15.75,44,1,44,9
63.0,145,1,39420,18,40.95,40,1,31,11
63.5,36,0,35242,17,15.88,74,1,40,2
59.0,12,1,5926,10,0.0,1,1,36,7
9.9,40,1,40606,1,0.0,93,1,36,7
24.0,42,1,7781,0,0.0,15,1,36,7
109.0,145,0,53608,3,42.18,74,1,41,2
79.2,47,1,38345,16,42.18,1,1,33,6
30.0,82,0,18546,8,10.5,36,1,34,9
16.0,12,1,44340,10,0.0,35,1,40,7
33.0,19,1,54163,0,0.0,15,0,55,7
64.0,54,1,11317,10,0.0,89,1,27,7
109.0,145,0,18321,4,42.18,74,1,55,2
67.0,53,1,18925,10,0.0,39,1,36,7
109.0,145,1,20854,10,0.0,88,1,36,7
109.0,145,0,57038,4,42.18,74,1,28,2
86.0,10,1,47006,1,0.0,52,1,36,7
21.0,52,1,6312,10,0.0,74,1,55,7
16.0,72,1,5388,10,0.0,13,1,55,7
20.0,74,1,13634,1,0.0,67,1,36,7
10.0,22,1,8655,10,0.0,15,1,25,7
49.5,38,1,14962,16,29.7,88,1,25,6
23.5,9,0,33403,9,5.88,74,1,29,2
49.39,22,0,24152,2,17.29,83,1,48,1
59.4,114,1,3515,16,35.64,76,1,37,6
109.0,145,0,52195,4,42.18,74,1,29,2
15.0,43,1,20513,10,0.0,92,1,36,7
80.0,8,1,45927,10,0.0,89,1,44,7
62.0,36,0,34171,9,15.5,74,1,28,2
33.0,18,1,54324,0,0.0,15,0,55,7
109.0,145,0,46531,4,40.25,74,1,39,2
43.0,39,1,18842,1,0.0,15,1,36,7
109.0,41,1,56739,1,0.0,2,1,36,7
40.0,9,1,37990,1,0.0,36,1,36,7
69.55,29,0,24377,9,17.39,74,1,25,2
34.5,16,0,32709,9,8.63,74,1,30,2
11.0,22,1,10084,10,0.0,15,1,36,7
40.0,29,0,40050,8,14.0,81,1,55,9
20.0,8,1,3515,0,0.0,53,1,36,7
28.0,9,1,25401,10,0.0,78,1,36,7
9.9,28,1,40590,0,0.0,88,1,36,7
109.0,66,1,17115,1,0.0,89,1,34,7
19.8,9,1,31067,16,11.88,44,1,47,6
41.0,8,1,4669,10,0.0,74,1,36,7
56.0,106,1,57038,18,36.4,40,1,25,11
45.0,13,0,29409,24,15.75,1,1,36,9
25.0,8,0,31213,17,6.25,74,1,27,2
22.0,3,0,44725,8,7.7,15,1,41,9
57.0,132,1,49046,1,0.0,15,1,36,7
23.0,12,1,57038,10,0.0,5,1,35,7
13.12,8,0,52374,2,4.59,22,1,48,1
30.0,17,1,36519,10,0.0,15,1,36,7
10.0,16,1,3515,10,0.0,36,1,36,7
39.0,26,0,45842,9,9.75,74,1,37,2
14.0,39,1,19123,10,0.0,67,1,36,7
10.0,4,1,43936,10,0.0,15,1,36,7
25.0,75,1,14420,1,0.0,12,1,36,7
24.0,45,1,57038,10,0.0,89,1,55,7
10.0,17,1,14471,10,0.0,35,1,29,7
29.5,10,0,52814,17,7.38,74,1,45,2
20.0,127,1,18213,10,0.0,74,1,36,7
63.6,118,0,57038,9,15.9,74,1,37,2
62.0,14,0,46752,17,15.5,74,1,26,2
53.0,58,1,3515,10,0.0,13,1,50,7
15.0,7,0,34884,24,6.0,11,1,49,12
19.8,42,1,20947,16,11.88,83,1,40,6
109.0,145,0,48011,4,42.18,74,1,30,2
109.0,51,1,54278,10,0.0,76,1,36,7
10.0,10,1,23895,10,0.0,53,1,25,7
109.0,145,0,23108,4,42.18,74,1,30,2
21.0,29,1,47680,10,0.0,35,1,36,7
9.9,125,0,11424,24,29.05,62,1,55,9
10.0,7,1,3515,10,0.0,83,1,25,7
29.7,17,1,28601,16,17.82,81,1,37,6
42.0,97,0,3515,8,14.7,67,1,52,9
29.0,49,1,3515,12,9.57,83,0,55,5
60.0,20,0,28108,13,15.0,74,1,55,2
109.0,145,0,31382,4,42.18,74,1,34,2
44.0,6,1,49302,10,0.0,35,1,36,7
109.0,145,0,57038,4,40.25,74,1,27,2
10.0,12,1,35783,10,0.0,81,1,30,7
39.5,110,1,57038,20,25.68,8,1,55,11
13.0,52,1,3515,10,0.0,67,1,36,7
31.0,10,0,49863,24,12.4,35,1,55,8
59.0,145,1,5002,1,0.0,83,1,51,7
10.0,5,1,3515,10,0.0,36,1,36,7
29.7,23,1,43901,16,17.82,80,1,53,6
15.0,34,0,35870,9,3.75,74,1,48,2
9.9,29,1,9962,16,5.94,88,1,53,6
70.0,11,1,11389,0,0.0,83,1,36,7
51.0,62,0,48811,9,12.75,74,1,25,2
22.0,8,0,20538,8,7.7,15,1,32,9
20.0,8,1,15171,1,0.0,36,1,44,7
10.0,8,1,6082,10,0.0,53,1,40,7
69.0,20,1,3515,10,0.0,27,1,36,7
109.0,145,0,50213,4,42.18,74,1,31,2
109.0,145,0,27464,4,42.18,74,1,25,2
10.0,37,1,57038,10,0.0,74,1,38,7
85.0,30,1,43552,1,0.0,88,1,36,7
26.0,33,1,14025,10,0.0,15,1,36,7
26.0,145,0,17748,8,9.1,32,1,44,9
20.0,14,1,8168,1,0.0,74,1,36,7
20.0,54,1,55967,1,0.0,32,1,36,7
46.0,90,1,15795,1,0.0,40,1,36,7
29.7,9,1,40769,16,17.82,83,1,30,6
9.9,29,1,40922,16,5.94,1,1,42,6
21.0,9,0,57038,9,5.25,74,1,36,2
24.0,97,1,16506,10,0.0,74,1,36,7
109.0,40,1,3663,1,0.0,58,1,36,7
77.0,21,1,34087,10,0.0,29,1,36,7
24.0,71,1,45042,10,0.0,11,1,36,7
18.0,9,1,56606,10,0.0,83,1,55,7
30.0,14,1,45891,1,0.0,15,1,36,7
109.0,145,0,5996,4,42.18,74,1,40,2
109.0,145,0,24384,4,42.18,74,1,37,2
50.0,10,0,33354,24,20.0,35,1,55,8
17.0,6,1,4483,10,0.0,74,1,36,7
59.4,26,1,9300,16,35.64,1,1,31,6
17.0,6,0,36936,9,4.25,74,1,41,2
10.0,3,1,39999,10,0.0,53,1,36,7
109.0,145,0,54530,4,42.18,74,1,31,2
20.0,3,1,9518,1,0.0,83,1,36,7
18.5,4,0,39703,17,4.63,74,1,30,2
86.0,66,0,55166,9,21.5,74,1,25,2
18.0,53,0,24528,8,6.3,59,1,43,9
38.0,27,1,17629,1,0.0,60,1,36,7
72.0,69,1,12542,1,0.0,2,1,36,7
30.0,9,0,19327,8,10.5,67,1,37,9
11.0,39,1,27371,10,0.0,36,1,36,7
48.5,13,0,57038,17,12.13,74,1,27,2
109.0,145,0,43687,4,42.18,74,1,35,2
29.7,54,1,41475,16,17.82,53,1,43,6
29.5,16,0,54007,17,7.38,74,1,30,2
25.0,25,1,29702,1,0.0,15,1,36,7
72.0,8,1,57038,10,0.0,29,1,35,7
77.0,128,1,23667,10,0.0,89,1,36,7
19.8,7,1,9296,16,11.88,89,1,49,6
10.0,12,1,21602,10,0.0,83,1,36,7
50.0,45,1,21020,1,0.0,1,1,36,7
81.0,73,0,32003,9,20.25,74,1,29,2
36.0,145,1,3515,10,0.0,57,1,36,7
27.0,26,0,53118,9,6.75,74,1,28,2
27.0,3,0,50529,9,6.75,74,1,25,2
9.9,3,1,57038,0,0.0,32,1,39,7
20.0,115,1,13459,1,0.0,67,1,36,7
13.0,66,1,10843,10,0.0,27,1,36,7
40.0,6,1,57038,1,0.0,83,1,35,7
20.0,38,1,57038,1,0.0,92,1,35,7
10.0,39,1,42328,10,0.0,74,1,36,7
31.0,42,0,28699,24,12.4,11,1,39,12
9.9,3,0,57038,8,7.7,1,1,45,9
109.0,145,0,44957,4,42.18,74,1,33,2
39.0,9,1,57038,10,0.0,83,1,46,7
39.6,13,1,57038,16,23.76,81,1,32,6
35.4,46,0,53355,17,8.85,74,1,49,2
31.0,120,1,13469,1,0.0,44,1,25,7
9.9,145,1,17989,16,5.94,31,1,48,6
13.5,6,0,31031,9,3.38,74,1,55,2
109.0,145,0,40766,4,42.18,74,1,36,2
22.0,11,0,16344,8,7.7,36,1,30,9
21.0,14,1,22946,1,0.0,32,1,36,7
70.0,14,1,55600,1,0.0,83,1,36,7
28.0,21,1,3515,10,0.0,83,1,36,7
79.2,61,1,36808,16,42.18,1,1,55,6
26.0,37,1,18017,1,0.0,15,1,36,7
16.0,28,1,4620,10,0.0,52,1,41,7
21.0,38,0,48630,9,5.25,74,1,41,2
33.0,38,1,30085,10,0.0,67,1,36,7
27.0,9,1,52702,10,0.0,15,1,36,7
51.0,27,1,21375,10,0.0,36,1,36,7
109.0,145,0,56484,9,42.18,74,1,25,2
18.0,6,0,33416,9,4.5,74,1,35,2
84.0,145,1,16615,1,0.0,34,1,36,7
31.85,7,0,21444,17,7.96,74,1,30,2
21.0,23,0,57038,9,5.25,74,1,55,2
10.0,4,1,26810,10,0.0,36,1,36,7
109.0,48,1,25692,1,0.0,77,1,36,7
22.0,101,1,27148,1,0.0,32,1,55,7
46.8,20,0,47394,9,11.7,74,1,25,2
39.0,11,0,48226,17,9.75,74,1,25,2
42.0,48,0,25843,8,14.7,36,1,41,9
20.0,7,1,37421,0,0.0,53,1,36,7
49.5,106,1,9291,16,29.7,40,1,28,6
35.0,34,1,11355,10,0.0,89,1,49,7
109.0,65,1,8020,1,0.0,89,1,55,7
20.0,42,1,5334,1,0.0,67,1,36,7
11.0,8,1,5888,10,0.0,35,1,36,7
10.0,13,1,27026,10,0.0,59,1,36,7
22.2,6,0,23327,17,5.55,74,1,27,2
18.0,5,0,10933,8,6.3,92,1,55,9
20.0,73,1,27806,1,0.0,53,1,36,7
49.5,22,1,4303,16,29.7,1,1,32,6
25.0,7,0,36287,17,6.25,74,1,27,2
36.0,13,1,18879,1,0.0,15,1,36,7
20.0,28,1,57038,1,0.0,67,1,35,7
109.0,145,0,57038,4,42.18,74,1,51,2
9.9,3,0,6372,22,2.02,74,1,48,13
9.9,23,1,8342,16,5.94,80,1,55,6
23.4,14,0,22147,9,5.85,74,1,55,2
49.5,53,1,26059,16,29.7,18,1,41,6
27.0,3,0,50529,9,6.75,74,1,25,2
10.0,91,1,35785,10,0.0,12,1,37,7
68.49,20,0,3761,2,23.97,67,1,48,1
15.0,9,0,10147,24,6.0,11,1,25,12
9.9,3,1,35262,16,5.94,39,1,31,6
67.0,24,1,57038,18,42.18,80,1,55,11
10.0,59,1,16547,10,0.0,83,1,33,7
25.0,98,1,8568,1,0.0,43,1,36,7
25.0,16,1,10827,1,0.0,15,1,36,7
33.0,39,1,57038,20,21.45,40,1,30,11
36.0,18,1,21015,1,0.0,15,1,36,7
20.0,30,1,44319,1,0.0,92,1,36,7
99.0,26,1,33648,16,42.18,76,1,55,6
22.5,15,0,57038,17,5.63,74,1,29,2
20.0,21,1,48086,1,0.0,83,1,55,7
84.0,145,1,9725,1,0.0,88,1,36,7
23.0,113,1,56913,1,0.0,92,1,26,7
33.0,111,1,17172,10,0.0,44,1,36,7
10.0,33,1,25800,10,0.0,53,1,36,7
26.5,52,0,41429,9,6.63,74,1,55,2
15.0,5,0,3515,24,6.0,11,1,29,12
10.0,3,1,55090,10,0.0,5,1,36,7
59.4,15,1,56154,16,35.64,1,1,48,6
17.5,3,0,55558,9,4.38,74,1,30,2
31.0,23,0,17493,24,12.4,35,1,55,8
60.0,17,0,46920,9,15.0,74,1,55,2
95.0,68,1,18978,24,36.1,61,1,48,10
16.0,16,1,51955,10,0.0,32,1,36,7
54.5,13,0,39695,17,13.63,74,1,32,2
17.0,11,0,28073,9,4.25,74,1,52,2
29.5,16,0,54007,17,7.38,74,1,30,2
9.9,48,1,3515,10,0.0,67,1,36,7
78.0,16,1,18084,10,0.0,40,1,36,7
29.08,85,0,45309,2,10.18,12,1,48,1
109.0,46,1,36162,1,0.0,87,1,36,7
80.0,37,1,22408,10,0.0,2,1,36,7
60.0,24,0,57038,9,15.0,74,1,34,2
14.0,8,1,26797,10,0.0,36,1,42,7
23.0,35,1,57038,1,0.0,53,1,27,7
47.0,21,0,31503,9,11.75,74,1,42,2
21.0,36,1,29137,10,0.0,15,1,36,7
9.9,145,0,34538,22,1.18,74,1,48,13
20.0,53,1,39325,1,0.0,81,1,36,7
9.9,36,1,25293,16,29.7,1,1,47,6
104.0,37,1,48808,1,0.0,89,0,55,7
20.0,145,1,12142,1,0.0,53,1,32,7
24.0,34,1,47509,10,0.0,15,1,36,7
17.0,9,0,32179,9,4.25,74,1,29,2
38.0,9,1,23179,1,0.0,83,1,36,7
49.5,28,1,44961,16,29.7,1,1,31,6
10.0,16,1,3515,10,0.0,53,1,36,7
53.0,13,0,57038,9,13.25,74,1,45,2
24.5,23,0,39709,17,6.13,74,1,25,2
26.0,5,1,24274,10,0.0,15,1,36,7
58.0,40,1,16102,10,0.0,89,1,38,7
18.0,8,0,36582,9,4.5,74,1,30,2
39.6,5,1,57038,16,23.76,1,1,39,6
9.9,145,1,11828,10,0.0,27,1,36,7
62.0,49,0,30860,9,15.5,74,1,30,2
80.0,36,1,40318,10,0.0,1,1,36,7
10.0,26,1,23645,10,0.0,83,1,35,7
49.0,26,1,57038,1,0.0,49,1,35,7
9.9,13,1,42414,16,42.18,29,1,36,6
20.0,25,1,52760,0,0.0,1,1,36,7
47.5,27,0,54759,17,11.88,74,1,28,2
20.0,101,1,3515,1,0.0,67,1,36,7
109.0,145,0,49593,4,42.18,74,1,25,2
26.0,3,1,19694,1,0.0,53,1,39,7
39.0,23,0,57038,9,9.75,74,1,36,2
9.9,11,1,30895,16,23.76,40,1,41,6
24.0,5,1,31920,10,0.0,15,1,36,7
109.0,145,0,36431,4,42.18,74,1,51,2
26.0,34,1,43310,10,0.0,81,1,36,7
38.0,8,1,12404,10,0.0,92,1,36,7
35.0,36,0,12939,8,12.25,15,1,38,9
20.0,7,1,12320,1,0.0,53,1,36,7
47.0,46,0,36091,9,11.75,74,1,29,2
27.0,8,0,57038,9,6.75,74,1,26,2
80.0,107,1,57038,10,0.0,74,1,35,7
9.9,3,1,20563,16,5.94,53,1,31,6
52.0,145,1,11740,1,0.0,40,1,36,7
22.0,12,0,45307,8,7.7,36,1,55,9
79.2,45,1,57038,16,42.18,39,1,37,6
32.9,20,0,4759,9,8.22,74,1,35,2
89.1,114,1,26064,16,42.18,1,1,46,6
20.0,46,1,55985,1,0.0,36,1,36,7
9.9,36,0,22609,22,0.32,74,1,48,13
80.0,25,1,56026,10,0.0,32,1,36,7
21.0,7,1,52756,0,0.0,35,1,42,7
10.0,55,1,39817,10,0.0,1,1,36,7
19.0,67,1,9364,10,0.0,15,1,36,7
109.0,114,1,17817,1,0.0,87,1,36,7
42.0,15,1,3515,1,0.0,53,1,36,7
20.0,145,1,22938,1,0.0,15,1,36,7
10.0,9,1,6319,10,0.0,53,1,53,7
71.0,23,1,37365,1,0.0,81,1,39,7
25.0,37,1,17871,10,0.0,89,1,41,7
22.0,6,0,19854,8,7.7,83,1,55,9
39.6,7,1,14592,16,23.76,1,1,55,6
109.0,145,0,57038,4,42.18,74,1,49,2
61.0,3,1,57038,0,0.0,15,1,36,7
44.0,10,1,3515,10,0.0,83,1,36,7
90.0,24,1,43094,1,0.0,74,1,36,7
47.5,10,0,48225,17,11.88,74,1,33,2
26.5,12,0,54001,9,6.63,74,1,38,2
21.0,16,1,6912,1,0.0,32,1,36,7
18.5,19,0,37334,17,4.63,74,1,32,2
30.0,26,1,36645,1,0.0,32,1,36,7
15.0,3,1,8440,10,0.0,89,1,47,7
23.5,8,0,38650,9,5.88,74,1,25,2
18.0,5,0,40371,8,6.3,53,1,53,9
27.0,35,1,3515,10,0.0,36,1,36,7
20.0,8,1,41117,1,0.0,83,1,35,7
29.0,18,1,53323,12,9.57,53,0,49,4
21.0,5,0,41422,9,5.25,74,1,34,2
18.0,86,1,26630,10,0.0,66,1,36,7
11.0,6,1,7012,10,0.0,36,1,38,7
20.0,5,1,55658,0,0.0,74,1,36,7
29.7,28,1,23982,16,17.82,79,1,30,6
9.9,145,0,37444,22,0.37,74,1,48,13
22.0,17,0,31355,8,7.7,36,1,47,9
15.0,12,0,54660,24,6.0,53,1,55,12
9.9,3,1,24599,16,5.94,89,1,49,6
40.0,84,1,13025,1,0.0,40,1,36,7
29.7,3,1,4305,16,17.82,88,1,37,6
25.0,6,1,13004,1,0.0,15,1,36,7
109.0,47,1,57038,1,0.0,40,1,35,7
25.9,9,0,4548,17,6.47,74,1,55,2
109.0,73,0,57038,17,42.18,74,1,55,2
10.0,12,1,23682,10,0.0,67,1,36,7
16.0,6,1,18235,10,0.0,92,1,36,7
22.5,5,0,57038,17,5.63,74,1,42,2
13.5,51,0,36580,9,3.38,74,1,33,2
33.79,13,0,5430,2,11.83,87,1,48,1
46.0,53,1,10091,10,0.0,1,1,36,7
109.0,145,0,17560,4,42.18,74,1,25,2
15.0,5,0,51443,24,6.0,11,1,55,12
37.0,62,0,10361,8,12.95,67,1,38,9
29.7,45,1,3515,16,17.82,53,1,32,6
34.0,13,1,3515,1,0.0,81,1,36,7
9.9,137,1,39226,16,23.76,83,1,46,6
22.0,5,0,7455,8,7.7,83,1,30,9
29.7,64,1,17986,16,17.82,80,1,41,6
42.0,49,0,47743,24,16.8,11,1,25,12
28.0,18,1,27060,24,10.64,36,1,48,10
109.0,145,0,23336,4,42.18,74,1,46,2
22.0,19,0,14124,8,7.7,15,1,29,9
29.0,34,1,47388,12,9.57,53,0,52,5
20.0,69,1,26960,1,0.0,36,1,36,7
42.0,21,1,20760,1,0.0,40,0,55,7
43.0,39,1,18842,1,0.0,15,1,36,7
19.0,12,1,5560,10,0.0,74,1,36,7
15.0,7,0,30999,24,6.0,11,1,55,12
28.0,7,1,31629,24,10.64,36,1,48,10
20.0,31,1,16866,1,0.0,81,1,36,7
35.0,85,0,57038,8,12.25,35,1,33,9
10.0,9,1,23433,10,0.0,53,1,36,7
20.0,9,1,31961,0,0.0,15,1,36,7
26.0,12,0,42361,8,9.1,15,1,55,9
69.0,60,1,27191,10,0.0,89,1,26,7
22.0,7,1,28804,1,0.0,83,1,36,7
29.0,3,1,5258,10,0.0,74,1,36,7
22.5,19,0,55915,17,5.63,74,1,25,2
27.0,13,0,46053,9,6.75,74,1,30,2
20.0,25,1,10243,1,0.0,53,1,36,7
55.0,74,1,25600,10,0.0,1,1,36,7
49.5,9,1,11229,16,29.7,53,1,50,6
109.0,145,0,4763,4,42.18,74,1,45,2
46.8,19,0,57038,17,11.7,74,1,35,2
63.0,145,1,39420,18,40.95,40,1,31,11
10.0,22,1,7888,10,0.0,53,1,36,7
88.5,32,0,57038,17,22.13,74,1,25,2
29.0,13,0,40623,17,7.25,74,1,44,2
109.0,52,0,31639,24,42.18,89,1,36,9
13.0,48,1,57038,10,0.0,83,1,35,7
33.0,8,1,33877,10,0.0,83,1,36,7
18.0,18,1,5680,10,0.0,83,1,36,7
109.0,46,0,24365,24,42.18,89,1,55,9
20.0,6,1,49527,0,0.0,74,1,43,7
34.0,7,1,9815,10,0.0,36,1,36,7
22.5,5,0,56125,17,5.63,74,1,35,2
16.0,23,1,11799,10,0.0,32,1,25,7
13.5,6,0,34749,9,3.38,74,1,26,2
20.0,12,0,51846,9,5.0,74,1,49,2
20.0,8,1,3515,0,0.0,92,1,36,7
21.0,136,1,8267,0,0.0,15,1,36,7
15.0,7,0,52765,24,6.0,11,1,33,12
10.0,3,1,15842,10,0.0,83,1,55,7
60.0,35,0,43362,9,15.0,74,1,35,2
33.5,89,0,39875,9,8.38,74,1,25,2
30.0,8,0,17015,8,10.5,67,1,48,9
109.0,145,0,48980,4,42.18,74,1,25,2
18.5,3,0,57004,17,4.63,74,1,37,2
74.4,22,0,57038,17,18.6,74,1,25,2
9.9,145,0,21450,4,42.18,74,1,46,2
29.7,44,1,40641,16,17.82,83,1,51,6
16.0,84,1,57038,10,0.0,59,1,36,7
86.0,37,1,26020,15,32.68,61,1,48,10
15.0,9,0,8685,24,6.0,11,1,35,12
29.0,7,1,26592,1,0.0,15,1,36,7
62.0,16,0,40071,17,15.5,74,1,55,2
109.0,145,1,16206,1,0.0,89,1,54,7
25.0,3,1,6435,1,0.0,83,1,34,7
26.0,6,1,47305,10,0.0,32,1,36,7
69.3,98,1,36309,16,41.58,1,1,27,6
24.0,8,0,51328,9,6.0,74,1,26,2
79.0,80,1,6503,10,0.0,88,1,36,7
20.0,12,1,13006,1,0.0,53,1,36,7
10.0,7,1,39779,10,0.0,53,1,36,7
24.0,56,1,53834,1,0.0,59,1,36,7
30.0,10,1,52056,23,10.5,53,0,55,14
12.0,5,1,3515,10,0.0,74,1,34,7
19.8,145,1,50566,16,11.88,34,1,51,6
28.0,15,1,43735,1,0.0,32,1,36,7
69.3,89,1,3515,16,41.58,1,1,35,6
109.0,145,1,57038,6,42.18,89,1,45,11
22.0,45,1,39998,10,0.0,35,1,36,7
109.0,119,0,49583,9,42.18,74,1,25,2
71.0,44,0,19878,17,17.75,74,1,37,2
20.0,67,1,57038,1,0.0,83,1,45,7
35.0,14,1,5634,1,0.0,15,1,36,7
28.0,25,1,57038,24,10.64,36,1,48,10
25.0,11,1,57038,18,16.25,92,1,34,11
10.0,3,1,48738,10,0.0,74,1,27,7
89.1,10,1,6006,16,42.18,88,1,31,6
